Node,Attributes,Type,Source,Target
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.25-DFE-DFS-2PORTS-20190121-143300.XML/D'}",Edge,209000AK03M4-UE132,209000AK03M1-UE133
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.25-DFE-DFS-2PORTS-20190121-143300.XML/D'}",Edge,209000AK03M4-UE131,209000AK03M1-UE130
,"{'length': '100m', 'deviceType': 'GSD:GSDML-V2.42-SIEMENS-ET200ECO-20221118.XML/D'}",Edge,209220AS11-JW52,209220CWP10-JX57
,"{'length': '100m', 'deviceType': 'System:Device.ET200SP'}",Edge,209220AS11-JW52,209220AX02-JW53
,"{'length': '100m', 'deviceType': 'System:Device.ET200eco'}",Edge,209220CWP10-JX57,209220CWP20-JX56
,"{'length': 'N/A', 'deviceType': 'System:Device.Scalance/XP200'}",Edge,209220AX02-JW53,209220Field-JW222
,"{'length': '100m', 'deviceType': 'GSD:GSDML-V2.42-SIEMENS-ET200ECO-20221118.XML/D'}",Edge,209220CWP10-JX54,209220CWP10-JX55
,"{'length': '100m', 'deviceType': 'GSD:GSDML-V2.42-SIEMENS-ET200ECO-20221118.XML/D'}",Edge,209220CWP10-JX55,209220AS20-JW58
,"{'length': '100m', 'deviceType': 'System:Device.ET200eco'}",Edge,209220AS20-JW58,209220CWP20-JX56
,"{'length': '100m', 'deviceType': 'System:Device.ET200SP'}",Edge,209210CWP10-JX44,209210AS20-JW48
,"{'length': '100m', 'deviceType': 'GSD:GSDML-V2.42-SIEMENS-ET200ECO-20221118.XML/D'}",Edge,209210CWP10-JX44,209210CWP10-JX45
,"{'length': '100m', 'deviceType': 'System:Device.ET200SP'}",Edge,209210AS20-JW48,209210CWP20-JX47
,"{'length': '100m', 'deviceType': 'System:Device.ET200SP'}",Edge,209210CWP10-JX45,209210AS11-JW42
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.34-SIEMENS-002A-SCALANCE_XC200-20200124.XML/D'}",Edge,209220Field-JW232,209000AE02-JW211
,"{'length': 'N/A', 'deviceType': 'GSD:GSDML-V2.34-SIEMENS-002A-SCALANCE_XC200-20200124.XML/D'}",Edge,209000AE02-JW211,209210Field-JW231
